case_id,court_type,case_type,document_text,num_words,num_sentences,avg_sentence_length,num_clauses,risk_score,contains_penalty_clause,contains_liability_clause,contains_arbitration_clause,legal_complexity_score,readability_score,tfidf_feature_1,tfidf_feature_2,tfidf_feature_3,named_entities_count,judgement_length,risk_label
CASE_10,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",645,15,23.917825254135728,44,0.5907573477504247,1,0,1,0.3974319065376686,52.19243758215969,0.7611849546407471,0.6911548428649328,2.354578740448865e-05,17,4251,Medium
CASE_11,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1555,113,20.24257982776969,16,0.6207115140926261,1,0,1,0.07312881389748183,61.12612851859325,0.8314212306686978,0.7519814383432688,0.4484720674564342,16,3634,Low
CASE_12,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",838,23,12.171456210133407,35,0.9113258729541641,1,1,1,0.6238579639687848,32.654313692348346,0.22854976125645654,0.8093472138995158,0.15669751402027954,1,4106,Low
CASE_13,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1711,25,23.342625743871736,21,0.13169607659076077,0,1,0,0.6403849502142478,40.11766835709535,0.429593505137169,0.021753071886320363,0.9976268748064383,5,729,Medium
CASE_14,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1829,140,21.405476293107277,46,0.7388355359555386,1,0,0,0.20696362742211127,89.29506894748596,0.09406662086040918,0.5818563223582868,0.3620794556897322,1,3200,Low
CASE_15,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1994,100,10.913134836244506,44,0.1445366305227409,0,1,0,0.5520979881727678,49.38521136401432,0.9937721001888791,0.7424242536854446,0.21253994625837636,17,2949,High
CASE_16,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1945,136,11.087203306626911,46,0.14871675703764076,0,1,1,0.6823974407633439,77.77509477277935,0.4682777409962746,0.9674506281808251,0.9235826028130223,14,1682,High
CASE_17,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",779,78,12.398906934362948,40,0.9641662761985117,0,1,1,0.22298223039196907,33.85348192207596,0.999852318261507,0.647259791287381,0.9120323225980786,16,1860,Medium
CASE_18,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",941,28,17.401815002443584,19,0.6209270565407908,0,1,0,0.6996518178279462,87.15411630672814,0.1368442408257089,0.6281062295299539,0.3157323165846806,10,3332,Low
CASE_19,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",889,90,24.26740896907858,30,0.6189378783398454,0,0,1,0.4899212489330401,85.88073199588969,0.47115477764323566,0.2389706206759742,0.08720162508090534,16,4215,Medium
CASE_20,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1376,62,22.044045911850723,33,0.17569684857061896,1,1,0,0.9261686611761857,7.1925631211664065,0.25825732779251054,0.3593052715519546,0.03959880312954589,6,1035,Low
CASE_21,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1117,60,22.54712844480752,12,0.07980840067822892,1,0,0,0.22030004298370898,17.110449284301875,0.461902821133616,0.8277697979024918,0.8733338882403217,2,1436,Medium
CASE_22,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1904,105,12.071228005594033,12,0.20147822341624677,0,0,1,0.0606159479258328,12.571475179225555,0.4191574665471588,0.8153642989213906,0.3757170356665842,6,3736,High
CASE_23,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",360,90,17.986975695648468,24,0.7032090244061017,1,1,1,0.5920494348796869,45.6800621362529,0.5237320246399055,0.6763686280048729,0.4438974700230547,19,4543,High
CASE_24,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",719,16,21.1336793298173,46,0.6082153022536058,1,1,0,0.22089865030175782,83.23218307139769,0.9824392243324775,0.5569891274557615,0.0654108496896264,11,4402,Medium
CASE_25,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",361,74,18.728560442731737,32,0.8787254252413277,0,1,1,0.5815491444324165,45.59236615325803,0.2598954963901364,0.480245539716217,0.4030170035421886,11,3157,High
CASE_26,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",681,57,21.58762156203152,40,0.5109035432608253,0,1,1,0.98766679877767,3.2947534476431284,0.10229205739651426,0.3702275683669398,0.5523157350093773,7,3064,High
CASE_27,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",947,132,14.027572979355222,21,0.8490661341091992,1,0,0,0.3669525317147381,96.78637863887734,0.6775959548041969,0.10282687070101593,0.8698561534753873,14,4985,Low
CASE_28,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",853,146,19.20338984366343,35,0.7697218930547248,1,1,1,0.001767979391842145,41.32340119964274,0.037046169392121686,0.7891360246457474,0.3175767819654641,6,2331,Low
CASE_29,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1228,83,20.661183299681774,28,0.8772694259376125,1,0,1,0.3626697937371267,45.232184284623166,0.4481627540246459,0.1359475873846654,0.1644196019849291,6,4921,Medium
CASE_30,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1350,97,21.14230372663949,15,0.9989942475287328,0,1,0,0.33529362677181784,42.99568155969092,0.05160032553154603,0.49503835015384756,0.8492328680221497,5,3353,High
CASE_31,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",368,101,23.885127892373834,5,0.94708029577628,1,1,1,0.8563407153974175,34.92177554243706,0.2475547952807179,0.28630298824945843,0.8822533430577892,13,4207,Low
CASE_32,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",223,120,19.810636279751186,42,0.666687929081929,0,1,1,0.6481049808952808,84.58665800168936,0.30809481680837436,0.027186979701144365,0.30562518454474163,5,1872,Low
CASE_33,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",428,128,22.27869589700477,48,0.6569568478268865,0,1,0,0.7656961403825967,99.00723137296076,0.3527282204437221,0.3712088694754603,0.07835284471280435,7,534,Medium
CASE_34,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1000,134,18.350973014791307,42,0.9833757894336891,0,0,1,0.6764666009177084,26.992526573368757,0.2576299635414815,0.08544811686242526,0.1324001350776659,4,2563,Medium
CASE_35,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1457,89,11.578006163421907,32,0.5499716129805489,0,1,1,0.9448555494542542,52.21688489027905,0.8342228825476633,0.6078619487970588,0.16140747755240847,1,830,High
CASE_36,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1703,126,20.901104705179712,40,0.008153543396972163,0,0,1,0.019961468554326567,67.8856005848736,0.4939718753117086,0.28633326290055705,0.6413488093997245,12,1078,Low
CASE_37,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1759,99,15.978883880180014,21,0.5109206504131298,1,0,0,0.23569851610790515,61.556592569544875,0.26841620473744865,0.31350075903377284,0.6850466341544615,16,506,Low
CASE_38,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",698,118,20.407005481255162,28,0.043692014585922645,1,0,1,0.5496876703869934,82.29241949904124,0.9350006546834853,0.9888733748735715,0.649293753266292,19,2828,Medium
CASE_39,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1491,125,10.44162078656029,23,0.091378582848197,1,1,1,0.7647901981624928,99.12602030366291,0.1693383888041068,0.26950779744781783,0.840315745367573,3,3504,Low
CASE_40,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1648,65,19.557624066262946,25,0.7315208917416489,0,0,0,0.8792527043022518,55.94368435137091,0.10546347095072484,0.16186391147093082,0.06835774207622036,13,4473,Low
CASE_41,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1791,41,10.862464801036573,31,0.3818679570165754,0,0,1,0.6420670317109306,49.71827515507331,0.4657499887024247,0.9298885408045982,0.10535453905714887,11,1962,Low
CASE_42,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",610,85,11.144780035288166,37,0.8664250810394429,1,1,0,0.6494034772776768,51.55500959294046,0.33785849980879756,0.7145180936554565,0.9189216173106197,12,4243,High
CASE_43,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1671,66,21.544003434714064,35,0.8194898777442634,1,1,1,0.11957396367711792,18.38883274059776,0.3822548121704892,0.23933796504268856,0.42070495942519937,9,1874,Low
CASE_44,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",995,125,21.79425155709005,11,0.28400806124665434,0,0,0,0.8477369794551127,19.36149762318561,0.14223429876633809,0.5363843027600349,0.41319604631064,19,2675,Medium
CASE_45,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1816,58,11.15401879843678,37,0.5013463222128414,1,0,1,0.8215756328218919,13.609571678074428,0.4421701346304511,0.08569404541605852,0.8857046172084032,18,4605,High
CASE_46,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1329,100,20.613691159303386,31,0.7135315224803351,0,0,1,0.8105209970037051,37.023982124797115,0.5747547584777353,0.3436985882421447,0.05254763831412057,15,3862,Medium
CASE_47,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1860,92,11.360979691272426,9,0.8611759624235645,0,1,0,0.927639939756472,74.3128456821696,0.40012158284112553,0.9000375329153314,0.5904676661454025,16,2823,Medium
CASE_48,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1651,103,23.5260797824534,11,0.6531985361054733,1,1,0,0.8611858970933616,28.96090765077216,0.7406405716959084,0.905937067731452,0.2257887236134527,5,4709,Low
CASE_49,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",651,85,10.377935907091116,10,0.752578368092871,0,0,1,0.5456831227327501,34.349350564415715,0.6608139459214173,0.6735990878137057,0.03937476316944277,2,3668,High
CASE_50,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",533,82,15.232309918527925,12,0.6722870747209307,0,1,0,0.6793991459297798,0.4039725566856722,0.18322046882432963,0.4928393724612452,0.13294134804076674,4,2924,Low
CASE_51,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1078,107,14.128609219116257,16,0.5992414457228269,0,0,1,0.6516083069107046,9.074353062543416,0.9231480157028983,0.28039979306970175,0.4553997894559455,8,4532,Low
CASE_52,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1098,148,11.908476879891293,11,0.4975339150670296,0,1,0,0.5499047672279352,8.31098963831245,0.8370984829740555,0.9412153536550476,0.901619260596528,13,2083,Low
CASE_53,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1727,55,16.62536157954694,32,0.058741796395496926,0,1,0,0.9571146812912216,66.66306175942618,0.8684906841223323,0.7311989790438647,0.9307463424942988,2,3199,High
CASE_54,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1743,110,22.06728075137454,16,0.9665070932087831,0,0,1,0.5778063414236293,28.65985244996152,0.18688213722264224,0.34192171157804063,0.5349101018293481,11,1420,High
CASE_55,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1951,64,10.794638151623733,9,0.298794912951455,1,1,1,0.3568556261819955,99.20183625643394,0.16065270011178023,0.5162351849612191,0.8782574140539118,2,2442,Low
CASE_56,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",511,80,14.623077223060262,11,0.6620837904960337,1,0,0,0.4601328904462999,73.26300803288235,0.5922826634935021,0.6999339687095646,0.24250612996242393,4,1344,Medium
CASE_57,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",763,131,16.402940699523622,48,0.2690845790510107,0,0,1,0.44999430790376926,82.30821508089733,0.16711365247578114,0.8407412667525501,0.8947043524754584,17,1560,Medium
CASE_58,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",231,61,16.202748723939987,13,0.46641207040124255,1,0,1,0.4908995931927451,63.11213166036037,0.43913599252656543,0.026100371846031645,0.6257340594915004,19,3231,Low
CASE_59,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1315,34,12.837803995024426,13,0.6939679927097588,0,0,0,0.9134699982792817,21.849044291191888,0.14085175778386028,0.9629187108611468,0.5464634077881544,6,1552,High
CASE_60,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",814,17,11.884238191787384,19,0.22579962175385693,0,1,1,0.6449661801357441,60.95542656303235,0.6462265927588948,0.006093316840282692,0.2153089652119312,1,1902,Medium
CASE_61,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",218,33,16.54440599247102,36,0.5530727675446291,1,1,1,0.4856981802576047,99.46123387459438,0.1206181037597589,0.7144881811010393,0.6285471540838209,5,3745,High
CASE_62,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",278,20,21.51424266613359,18,0.7236228042457438,1,1,0,0.2002508022811087,29.888177000515192,0.7362439365279503,0.7636753667992773,0.9856888332420064,12,628,Low
CASE_63,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",749,116,16.18248213235776,6,0.9980051473297491,0,1,0,0.9194777494682901,41.46150053163561,0.6746339506586975,0.8631802741021541,0.8313125169995861,13,3593,Medium
CASE_64,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",437,27,18.779881683468638,31,0.195233529021693,1,0,1,0.3186027791447482,45.68071548160596,0.9368408838554361,0.4052406068553691,0.05862713284916932,16,4785,Low
CASE_65,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1190,63,11.703354760591797,27,0.6460921497294916,1,0,0,0.8288471814934614,33.02117752385545,0.2578877803684738,0.34874839140068314,0.560945120035259,14,3685,Medium
CASE_66,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1577,24,10.841921994314157,17,0.3308581644601394,0,0,0,0.5779224306363624,13.2643439781166,0.9645515056610238,0.8528546904333815,0.3473834838698716,14,3435,Low
CASE_67,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1055,107,14.051279642576652,49,0.574461878771959,0,1,0,0.7480533111113313,16.13107921979493,0.5880309577775519,0.27973930850301054,0.03161387159451656,15,1336,Medium
CASE_68,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1681,77,11.63951637059893,47,0.462312016446877,0,1,0,0.5545363220057353,9.10325918264714,0.6161106026632062,0.7314839552159493,0.7384604834373193,1,3506,Medium
CASE_69,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1848,81,16.547794064614866,17,0.9585161996236198,0,1,1,0.67944874494242,21.01629793294122,0.22526797562605205,0.3220979156915461,0.30083737080179107,4,4242,Medium
CASE_70,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1925,15,17.28177267545762,32,0.7821485728266281,0,0,1,0.4262543458890684,62.80347489285091,0.7152064914452286,0.8912385649726043,0.8820178108436092,1,4376,High
CASE_71,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1410,83,13.074276136490603,10,0.43115944726977984,1,0,0,0.4455982973346405,95.06004660748088,0.256548178352218,0.7099953037168898,0.09972517934929437,14,1783,Medium
CASE_72,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1480,24,18.108569549228918,39,0.7217635763159882,0,1,0,0.035738563763534126,96.00774458198788,0.7429314016644966,0.6001985260722035,0.2871176549190273,15,2399,Medium
CASE_73,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",259,85,18.4247858328751,14,0.5618329626317339,0,0,0,0.10184638128044432,45.48300503633828,0.03283427635148006,0.8053589264025797,0.15028131018970803,17,4512,Medium
CASE_74,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",503,12,16.780482242679284,38,0.5859601430169386,0,0,1,0.46619512623495085,97.95956949158685,0.15900348855431323,0.9028726105274867,0.3659468160519358,11,3061,High
CASE_75,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1191,30,17.534751275509066,16,0.6408024821736239,1,1,0,0.6906402762058741,75.39914397641844,0.001451500700498376,0.3483636557229628,0.4183659627048759,7,3043,Low
CASE_76,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",997,118,11.120412581218975,23,0.5759525067184066,1,1,0,0.9801461952280054,83.02263193761642,0.7448963250901983,0.8355370820910324,0.15296753482996794,11,1703,High
CASE_77,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",298,149,22.0702806417346,32,0.9594782448411884,0,0,1,0.658600930761915,12.78379344004411,0.7819145717191333,0.6977627187540539,0.961958626196616,2,2258,High
CASE_78,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1295,74,11.271703001407626,42,0.4827120117894539,0,0,0,0.5339786910158993,52.115124530172686,0.8622645463833825,0.08929328454716667,0.058964333047108464,8,4191,Low
CASE_79,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1097,26,10.933807202193128,23,0.3365518076642112,0,0,1,0.23649190374251694,50.39575353891151,0.8125309666058768,0.24514734115650183,0.3337547624682017,7,1309,Medium
CASE_80,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1316,17,23.958061300334947,21,0.5199730913893149,1,1,0,0.4001088832319416,31.1488471184721,0.9809028752316651,0.8395311668935399,0.46862423584194346,5,961,Medium
CASE_81,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1467,34,10.340320967853717,45,0.4182484085894217,1,0,0,0.9066797180632912,59.6023256644404,0.14576473906184106,0.7384945584919992,0.42377241019875667,18,1128,High
CASE_82,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",896,122,14.26940394397154,8,0.8004550644299495,0,0,1,0.26987043646544473,38.319286686936685,0.8961424764753659,0.5742651728059617,0.5821454614241299,15,2851,Low
CASE_83,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",950,58,22.01104829644946,22,0.0948109767227664,1,1,1,0.8562680760533784,8.125755403540557,0.2664568993235633,0.3376560667470243,0.22933515052172537,16,1498,High
CASE_84,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",392,59,13.550647099192638,23,0.025687049502436277,0,1,0,0.2905465965834133,80.41865082623525,0.10983869944258795,0.5904078573687399,0.12609620286232748,3,3272,High
CASE_85,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",647,26,18.459442802890877,47,0.37904015265755064,0,1,0,0.9991788508578516,73.8710670853052,0.5822891184082581,0.48513675260631617,0.05297769232378535,2,1606,Medium
CASE_86,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1884,54,10.461059790714033,42,0.17698298793498424,1,0,1,0.2449804096107877,47.50470647075036,0.7802421359737254,0.1362331641034471,0.6479866955814009,6,1634,Medium
CASE_87,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1009,141,10.77890956514517,24,0.42661704621796315,1,0,1,0.9226081260473453,78.76558935189688,0.4995181290483114,0.10124631382150007,0.909332383899098,18,613,High
CASE_88,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",489,28,12.897105862436732,39,0.4112275120174065,0,0,1,0.9394069438769465,8.700997989715676,0.1433116170028078,0.21865581942192913,0.7465309363645224,5,3705,Low
CASE_89,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1076,143,13.940229282328833,39,0.5999291166713818,0,0,1,0.38515949608581357,79.74042111856141,0.28071573388806437,0.7748911648959077,0.3011830207375764,1,4472,High
CASE_90,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1538,132,12.911746594377359,27,0.19771516720761373,1,0,0,0.6643711203812234,34.98020345519254,0.2544863962003431,0.27094021013420533,0.7037813717748547,6,787,Low
CASE_91,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",318,106,23.792400377608327,15,0.7035787545608202,0,0,0,0.920545790137775,63.827264037579425,0.5156572293975347,0.2836859244486676,0.5909068062056763,14,4801,Medium
CASE_92,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",414,26,15.454803144686693,27,0.916160984991666,0,1,0,0.8549166854967231,68.37649422837472,0.05273382932157877,0.9677087545578269,0.6053412418634924,16,2609,Medium
CASE_93,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1408,29,23.311322818670096,46,0.7361901588358245,0,0,0,0.5438361953867885,48.41088049161456,0.7376437369816896,0.590145840748606,0.5124615663258176,5,1071,Medium
CASE_94,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",884,57,23.798812040277785,18,0.10742169092983045,1,1,0,0.8758661451631535,55.14488755119362,0.02152401445561125,0.8170449666926508,0.9944274656885725,17,3572,Medium
CASE_95,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1496,146,21.184068729833637,44,0.7322577345431674,0,0,0,0.8780917428055972,47.299512811844245,0.37314523148697665,0.8824824143250497,0.8099094058930778,5,4259,High
CASE_96,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",820,31,10.84206190317388,43,0.8979351289723663,0,1,1,0.07520776393187922,99.24162919072276,0.742394617382892,0.2762760946485471,0.5640849779579414,17,3341,Low
CASE_97,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",842,25,22.37166124683276,23,0.7296349322258273,0,1,0,0.7043898349223205,18.502600477976095,0.8344334034530935,0.017245378482790286,0.3512920691471434,11,2684,Medium
CASE_98,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",833,145,14.523399603638715,18,0.8770987957817498,0,1,1,0.7089622651909445,48.211654378767044,0.35366380109611517,0.5000822887887996,0.06837840386250071,4,3047,Low
CASE_99,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1075,114,12.329345661775358,41,0.5586313462776578,0,0,1,0.4809709204274679,28.323621966583268,0.7220356071951282,0.2728353675946875,0.491762986932213,6,3264,Medium
CASE_100,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",898,65,16.41054930082222,28,0.6436478621410603,1,0,0,0.06123825631603774,44.71021551021389,0.8460961213603261,0.21378829665326737,0.743017958831267,3,2821,Medium
CASE_101,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1634,128,20.73406470555809,45,0.8386881844907235,0,0,1,0.39326158392532784,67.58126282421804,0.621269046452455,0.1764896514296901,0.20337926853411858,12,982,Low
CASE_102,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",865,98,12.909241096371572,36,0.7406835110251735,1,0,0,0.7729449581883912,94.51343620058401,0.7695866213917986,0.2712857244214114,0.1850331764647125,19,521,Medium
CASE_103,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",959,101,22.497153805083784,12,0.8227605294100631,1,0,1,0.4221684506747978,51.61987617515609,0.07497467868888097,0.43476173606350277,0.7373248818003426,8,933,Low
CASE_104,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1390,30,22.22040039090092,46,0.2485837901790492,1,1,1,0.809136506668066,63.60107524715257,0.9661521268036783,0.49931945366633845,0.40394528388955087,8,876,High
CASE_105,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1439,131,21.918352098258914,42,0.9921682362670589,0,0,1,0.6523854066735519,4.954342595896833,0.011837993122311707,0.8338486641504901,0.9466460046328291,10,4984,High
CASE_106,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1656,46,21.433030272347473,38,0.4615125122591113,1,1,0,0.02729294315833708,73.91828950786943,0.29049073185211693,0.37534961021189905,0.7385662497416684,17,4873,Low
CASE_107,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",534,110,20.339445211935143,7,0.1352899195768138,1,1,0,0.7734917461739798,53.93143978128262,0.562365253406639,0.5251036784639307,0.6697536730166254,16,2926,High
CASE_108,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",954,67,13.574304281049255,19,0.028384153037542048,1,1,0,0.6911767764474498,92.28475968722269,0.7394364729140033,0.7915104774176941,0.6039589419104773,15,977,High
CASE_109,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",994,62,21.732516933414793,14,0.9353617494731449,0,1,0,0.40314342268280656,43.167917102978095,0.6157583807908997,0.1051191400336029,0.2781363691721417,11,4446,High
CASE_110,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1491,139,12.190001973793725,23,0.0027192091603284174,1,0,1,0.6861120087886994,54.78939758489677,0.44708729538833414,0.9741009997389575,0.983844634432088,15,4590,Medium
CASE_111,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1270,35,14.337373146854565,19,0.7669895035908931,0,1,1,0.473439505523795,0.1741448923922806,0.527581641754343,0.1743484700295591,0.18150549548239348,19,2310,Low
CASE_112,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1810,58,17.40257337874718,35,0.2968279473818518,0,1,0,0.7335598500920366,73.58488316009588,0.6963223068681597,0.41219877590202925,0.2256659911171477,11,4421,Medium
